#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
--	P16885	1	KitReceptor	6	Phosphorylation	--	PLCG2	--	P16885	1
P61160	P42768	1	KitReceptor	6	physical	ACTR2	WAS	P61160	P42768	1
P61160	O43516	1	KitReceptor	6	physical	ACTR2	WIPF1	P61160	O43516	1
P31749	P49840	1	KitReceptor	6	Phosphorylation	AKT1	GSK3A	P31749	P49840	1
P22681	P62993	1	KitReceptor	6	physical	CBL	GRB2	P22681	P62993	1
P22681	P10721	1	KitReceptor	6	physical	CBL	KIT	P22681	P10721	1
P22681	P27986	1	KitReceptor	6	physical	CBL	PIK3R1	P22681	P27986	1
P22681	O00459	1	KitReceptor	6	physical	CBL	PIK3R2	P22681	O00459	1
Q00610	P10721	1	KitReceptor	6	physical	CLTC	KIT	Q00610	P10721	1
P46108	P27986	1	KitReceptor	6	physical	CRK	PIK3R1	P46108	P27986	1
P46109	P10721	1	KitReceptor	6	physical	CRKL	KIT	P46109	P10721	1
P46109	P27986	1	KitReceptor	6	physical	CRKL	PIK3R1	P46109	P27986	1
P32927	P10721	1	KitReceptor	6	physical	CSF2RB	KIT	P32927	P10721	1
Q99704	P07332	1	KitReceptor	6	physical	DOK1	FES	Q99704	P07332	1
Q99704	P09769	1	KitReceptor	6	physical	DOK1	FGR	Q99704	P09769	1
Q99704	Q92835	1	KitReceptor	6	physical	DOK1	INPP5D	Q99704	Q92835	1
Q99704	P07948	1	KitReceptor	6	physical	DOK1	LYN	Q99704	P07948	1
Q99704	O00459	1	KitReceptor	6	physical	DOK1	PIK3R2	Q99704	O00459	1
Q99704	P19174	1	KitReceptor	6	physical	DOK1	PLCG1	Q99704	P19174	1
P07332	Q99704	1	KitReceptor	6	physical	FES	DOK1	P07332	Q99704	1
P09769	Q99704	1	KitReceptor	6	physical	FGR	DOK1	P09769	Q99704	1
