#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P00519	Q99704	1	KitReceptor	6	physical	ABL1	DOK1	P00519	Q99704	0
P31749	Q92934	1	KitReceptor	6	physical	AKT1	BAD	P31749	Q92934	0
P31749	Q92934	1	KitReceptor	6	Phosphorylation	AKT1	BAD	P31749	Q92934	0
P31749	O43524	1	KitReceptor	6	Phosphorylation	AKT1	FOXO3	P31749	O43524	0
P31749	Q13322	1	KitReceptor	6	physical	AKT1	GRB10	P31749	Q13322	0
Q92934	P31749	1	KitReceptor	6	physical	BAD	AKT1	Q92934	P31749	0
Q06187	P10721	1	KitReceptor	6	physical	BTK	KIT	Q06187	P10721	0
Q06187	O00220	1	KitReceptor	6	physical	BTK	TNFRSF10A	Q06187	O00220	0
P22681	Q13191	1	KitReceptor	6	physical	CBL	CBLB	P22681	Q13191	0
P22681	P46109	1	KitReceptor	6	physical	CBL	CRKL	P22681	P46109	0
P22681	P29353	1	KitReceptor	6	physical	CBL	SHC1	P22681	P29353	0
Q13191	P22681	1	KitReceptor	6	physical	CBLB	CBL	Q13191	P22681	0
Q13191	P10721	1	KitReceptor	6	physical	CBLB	KIT	Q13191	P10721	0
Q13191	Q96B97	1	KitReceptor	6	physical	CBLB	SH3KBP1	Q13191	Q96B97	0
P46108	P10721	1	KitReceptor	6	physical	CRK	KIT	P46108	P10721	0
P46109	P22681	1	KitReceptor	6	physical	CRKL	CBL	P46109	P22681	0
P46109	Q99704	1	KitReceptor	6	physical	CRKL	DOK1	P46109	Q99704	0
P46109	O00459	1	KitReceptor	6	physical	CRKL	PIK3R2	P46109	O00459	0
Q99704	P00519	1	KitReceptor	6	physical	DOK1	ABL1	Q99704	P00519	0
Q99704	P46109	1	KitReceptor	6	physical	DOK1	CRKL	Q99704	P46109	0
Q99704	P08631	1	KitReceptor	6	physical	DOK1	HCK	Q99704	P08631	0
Q99704	P10721	1	KitReceptor	6	physical	DOK1	KIT	Q99704	P10721	0
Q99704	P27986	1	KitReceptor	6	physical	DOK1	PIK3R1	Q99704	P27986	0
Q99704	P20936	1	KitReceptor	6	physical	DOK1	RASA1	Q99704	P20936	0
Q99704	P29353	1	KitReceptor	6	physical	DOK1	SHC1	Q99704	P29353	0
Q99704	P12931	1	KitReceptor	6	physical	DOK1	SRC	Q99704	P12931	0
Q99704	P42680	1	KitReceptor	6	physical	DOK1	TEC	Q99704	P42680	0
Q99704	P07947	1	KitReceptor	6	physical	DOK1	YES1	Q99704	P07947	0
Q09472	O75030	1	KitReceptor	6	physical	EP300	MITF	Q09472	O75030	0
P19235	P10721	1	KitReceptor	6	physical	EPOR	KIT	P19235	P10721	0
P07332	P10721	1	KitReceptor	6	physical	FES	KIT	P07332	P10721	0
P06241	P07332	1	KitReceptor	6	Phosphorylation	FYN	FES	P06241	P07332	0
P06241	P10721	1	KitReceptor	6	Phosphorylation	FYN	KIT	P06241	P10721	0
P06241	P10721	1	KitReceptor	6	physical	FYN	KIT	P06241	P10721	0
Q9UQC2	Q06124	1	KitReceptor	6	physical	GAB2	PTPN11	Q9UQC2	Q06124	0
Q13322	P31749	1	KitReceptor	6	physical	GRB10	AKT1	Q13322	P31749	0
