#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
O96019	Q01201	1	TNFalpha	9	physical	ACTL6A	RELB	O96019	Q01201	1
P31749	O15111	1	TNFalpha	9	Phosphorylation	AKT1	CHUK	P31749	O15111	1
P31749	Q04206	1	TNFalpha	9	physical	AKT1	RELA	P31749	Q04206	1
O14727	P55211	1	TNFalpha	9	physical	APAF1	CASP9	O14727	P55211	1
Q07817	P60602	1	TNFalpha	9	physical	BCL2L1	ROMO1	Q07817	P60602	1
P20749	P19838	1	TNFalpha	9	physical	BCL3	NFKB1	P20749	P19838	1
Q4VC05	Q01201	1	TNFalpha	9	physical	BCL7A	RELB	Q4VC05	Q01201	1
Q13490	Q92851	1	TNFalpha	9	physical	BIRC2	CASP10	Q13490	Q92851	1
Q13490	O15519	1	TNFalpha	9	physical	BIRC2	CFLAR	Q13490	O15519	1
Q13490	Q9NR28	1	TNFalpha	9	physical	BIRC2	DIABLO	Q13490	Q9NR28	1
Q13490	Q13158	1	TNFalpha	9	physical	BIRC2	FADD	Q13490	Q13158	1
Q13490	Q9Y6K9	1	TNFalpha	9	Ubiquitination	BIRC2	IKBKG	Q13490	Q9Y6K9	1
Q13490	Q9Y6K9	1	TNFalpha	9	physical	BIRC2	IKBKG	Q13490	Q9Y6K9	1
Q9Y297	Q9UKB1	1	TNFalpha	9	physical	BTRC	FBXW11	Q9Y297	Q9UKB1	1
Q9Y297	P19838	1	TNFalpha	9	Phosphorylation	BTRC	NFKB1	Q9Y297	P19838	1
Q9Y297	Q15653	1	TNFalpha	9	Ubiquitination	BTRC	NFKBIB	Q9Y297	Q15653	1
Q9Y297	Q15653	1	TNFalpha	9	physical	BTRC	NFKBIB	Q9Y297	Q15653	1
Q9Y297	Q14644	1	TNFalpha	9	physical	BTRC	RASA3	Q9Y297	Q14644	1
Q9Y297	P01375	1	TNFalpha	9	physical	BTRC	TNF	Q9Y297	P01375	1
Q9Y297	Q12933	1	TNFalpha	9	physical	BTRC	TRAF2	Q9Y297	Q12933	1
Q92851	Q13490	1	TNFalpha	9	physical	CASP10	BIRC2	Q92851	Q13490	1
Q92851	Q14790	1	TNFalpha	9	physical	CASP10	CASP8	Q92851	Q14790	1
Q92851	Q13546	1	TNFalpha	9	physical	CASP10	RIPK1	Q92851	Q13546	1
Q92851	Q15628	1	TNFalpha	9	physical	CASP10	TRADD	Q92851	Q15628	1
P42575	P78560	1	TNFalpha	9	physical	CASP2	CRADD	P42575	P78560	1
P42574	O15519	1	TNFalpha	9	physical	CASP3	CFLAR	P42574	O15519	1
P55210	O14920	1	TNFalpha	9	Proteolytic	CASP7	IKBKB	P55210	O14920	1
Q14790	Q92851	1	TNFalpha	9	physical	CASP8	CASP10	Q14790	Q92851	1
Q14790	O15519	1	TNFalpha	9	physical	CASP8	CFLAR	Q14790	O15519	1
Q14790	Q13546	1	TNFalpha	9	physical	CASP8	RIPK1	Q14790	Q13546	1
Q14790	Q13546	1	TNFalpha	9	protein_cleavage	CASP8	RIPK1	Q14790	Q13546	1
Q14790	P60602	1	TNFalpha	9	physical	CASP8	ROMO1	Q14790	P60602	1
Q14790	P19438	1	TNFalpha	9	physical	CASP8	TNFRSF1A	Q14790	P19438	1
Q14790	Q13077	1	TNFalpha	9	physical	CASP8	TRAF1	Q14790	Q13077	1
Q14790	Q13077	1	TNFalpha	9	protein_cleavage	CASP8	TRAF1	Q14790	Q13077	1
Q14790	Q12933	1	TNFalpha	9	physical	CASP8	TRAF2	Q14790	Q12933	1
P55211	O14727	1	TNFalpha	9	physical	CASP9	APAF1	P55211	O14727	1
Q03135	P19438	1	TNFalpha	9	physical	CAV1	TNFRSF1A	Q03135	P19438	1
Q03135	Q15628	1	TNFalpha	9	physical	CAV1	TRADD	Q03135	Q15628	1
Q16543	O15111	1	TNFalpha	9	physical	CDC37	CHUK	Q16543	O15111	1
Q16543	Q14164	1	TNFalpha	9	physical	CDC37	IKBKE	Q16543	Q14164	1
Q16543	Q9Y6K9	1	TNFalpha	9	physical	CDC37	IKBKG	Q16543	Q9Y6K9	1
Q16543	Q13233	1	TNFalpha	9	physical	CDC37	MAP3K1	Q16543	Q13233	1
Q16543	Q99558	1	TNFalpha	9	physical	CDC37	MAP3K14	Q16543	Q99558	1
O15519	Q13490	1	TNFalpha	9	physical	CFLAR	BIRC2	O15519	Q13490	1
O15519	P42574	1	TNFalpha	9	physical	CFLAR	CASP3	O15519	P42574	1
O15519	Q14790	1	TNFalpha	9	physical	CFLAR	CASP8	O15519	Q14790	1
O15519	Q13158	1	TNFalpha	9	physical	CFLAR	FADD	O15519	Q13158	1
O15519	P19838	1	TNFalpha	9	physical	CFLAR	NFKB1	O15519	P19838	1
O15519	Q15628	1	TNFalpha	9	physical	CFLAR	TRADD	O15519	Q15628	1
O15111	Q16543	1	TNFalpha	9	physical	CHUK	CDC37	O15111	Q16543	1
O15111	P02511	1	TNFalpha	9	physical	CHUK	CRYAB	O15111	P02511	1
O15111	Q13451	1	TNFalpha	9	physical	CHUK	FKBP5	O15111	Q13451	1
O15111	Q16695	1	TNFalpha	9	Phosphorylation	CHUK	HIST3H3	O15111	Q16695	1
O15111	P08238	1	TNFalpha	9	physical	CHUK	HSP90AB1	O15111	P08238	1
O15111	Q99558	1	TNFalpha	9	physical	CHUK	MAP3K14	O15111	Q99558	1
O15111	O43318	1	TNFalpha	9	physical	CHUK	MAP3K7	O15111	O43318	1
O15111	P19838	1	TNFalpha	9	Phosphorylation	CHUK	NFKB1	O15111	P19838	1
O15111	P19838	1	TNFalpha	9	physical	CHUK	NFKB1	O15111	P19838	1
O15111	Q06124	1	TNFalpha	9	physical	CHUK	PTPN11	O15111	Q06124	1
O15111	Q13077	1	TNFalpha	9	physical	CHUK	TRAF1	O15111	Q13077	1
O15111	Q12933	1	TNFalpha	9	physical	CHUK	TRAF2	O15111	Q12933	1
Q8N668	Q04206	1	TNFalpha	9	physical	COMMD1	RELA	Q8N668	Q04206	1
Q92905	Q12933	1	TNFalpha	9	physical	COPS5	TRAF2	Q92905	Q12933	1
P78560	P42575	1	TNFalpha	9	physical	CRADD	CASP2	P78560	P42575	1
P02511	O15111	1	TNFalpha	9	physical	CRYAB	CHUK	P02511	O15111	1
Q13616	Q9UKB1	1	TNFalpha	9	physical	CUL1	FBXW11	Q13616	Q9UKB1	1
Q13616	P25963	1	TNFalpha	9	physical	CUL1	NFKBIA	Q13616	P25963	1
Q13616	Q15653	1	TNFalpha	9	physical	CUL1	NFKBIB	Q13616	Q15653	1
P13498	Q969G6	1	TNFalpha	9	physical	CYBA	RFK	P13498	Q969G6	1
O60477	O14920	1	TNFalpha	9	physical	DBC1	IKBKB	O60477	O14920	1
P61962	Q13233	1	TNFalpha	9	physical	DCAF7	MAP3K1	P61962	Q13233	1
Q9NR28	Q13490	1	TNFalpha	9	physical	DIABLO	BIRC2	Q9NR28	Q13490	1
O75530	P19438	1	TNFalpha	9	physical	EED	TNFRSF1A	O75530	P19438	1
Q09472	Q04206	1	TNFalpha	9	physical	EP300	RELA	Q09472	Q04206	1
Q13158	Q13490	1	TNFalpha	9	physical	FADD	BIRC2	Q13158	Q13490	1
Q13158	O15519	1	TNFalpha	9	physical	FADD	CFLAR	Q13158	O15519	1
Q13158	Q13546	1	TNFalpha	9	physical	FADD	RIPK1	Q13158	Q13546	1
Q13158	P42224	1	TNFalpha	9	physical	FADD	STAT1	Q13158	P42224	1
Q13158	P21580	1	TNFalpha	9	physical	FADD	TNFAIP3	Q13158	P21580	1
Q13158	P19438	1	TNFalpha	9	physical	FADD	TNFRSF1A	Q13158	P19438	1
Q9UNN5	Q04206	1	TNFalpha	9	physical	FAF1	RELA	Q9UNN5	Q04206	1
Q9BXW9	P20333	1	TNFalpha	9	physical	FANCD2	TNFRSF1B	Q9BXW9	P20333	1
P22087	Q99558	1	TNFalpha	9	physical	FBL	MAP3K14	P22087	Q99558	1
Q9UKB1	Q9Y297	1	TNFalpha	9	physical	FBXW11	BTRC	Q9UKB1	Q9Y297	1
Q9UKB1	Q13616	1	TNFalpha	9	physical	FBXW11	CUL1	Q9UKB1	Q13616	1
Q9UKB1	Q14644	1	TNFalpha	9	physical	FBXW11	RASA3	Q9UKB1	Q14644	1
Q9UKB1	P01375	1	TNFalpha	9	physical	FBXW11	TNF	Q9UKB1	P01375	1
Q9UKB1	P20333	1	TNFalpha	9	physical	FBXW11	TNFRSF1B	Q9UKB1	P20333	1
Q9UKB1	Q15628	1	TNFalpha	9	physical	FBXW11	TRADD	Q9UKB1	Q15628	1
Q9UKB1	Q12933	1	TNFalpha	9	physical	FBXW11	TRAF2	Q9UKB1	Q12933	1
Q13451	O15111	1	TNFalpha	9	physical	FKBP5	CHUK	Q13451	O15111	1
Q13451	O43318	1	TNFalpha	9	physical	FKBP5	MAP3K7	Q13451	O43318	1
P21333	Q12933	1	TNFalpha	9	physical	FLNA	TRAF2	P21333	Q12933	1
Q9UN86	P25963	1	TNFalpha	9	physical	G3BP2	NFKBIA	Q9UN86	P25963	1
Q13480	Q99759	1	TNFalpha	9	physical	GAB1	MAP3K3	Q13480	Q99759	1
P16278	P19438	1	TNFalpha	9	physical	GLB1	TNFRSF1A	P16278	P19438	1
Q92896	Q00653	1	TNFalpha	9	physical	GLG1	NFKB2	Q92896	Q00653	1
P15104	Q9Y572	1	TNFalpha	9	physical	GLUL	RIPK3	P15104	Q9Y572	1
P63244	Q92636	1	TNFalpha	9	physical	GNB2L1	NSMAF	P63244	Q92636	1
P63244	Q9NY59	1	TNFalpha	9	physical	GNB2L1	SMPD3	P63244	Q9NY59	1
P62993	Q07889	1	TNFalpha	9	physical	GRB2	SOS1	P62993	Q07889	1
P62993	Q07890	1	TNFalpha	9	physical	GRB2	SOS2	P62993	Q07890	1
P62993	P19438	1	TNFalpha	9	physical	GRB2	TNFRSF1A	P62993	P19438	1
P78347	Q00653	1	TNFalpha	9	physical	GTF2I	NFKB2	P78347	Q00653	1
Q13547	Q92769	1	TNFalpha	9	physical	HDAC1	HDAC2	Q13547	Q92769	1
Q92769	Q13547	1	TNFalpha	9	physical	HDAC2	HDAC1	Q92769	Q13547	1
Q9UBN7	Q01201	1	TNFalpha	9	physical	HDAC6	RELB	Q9UBN7	Q01201	1
P07900	O14920	1	TNFalpha	9	physical	HSP90AA1	IKBKB	P07900	O14920	1
P07900	Q9Y6K9	1	TNFalpha	9	physical	HSP90AA1	IKBKG	P07900	Q9Y6K9	1
P07900	Q99558	1	TNFalpha	9	physical	HSP90AA1	MAP3K14	P07900	Q99558	1
P07900	O43318	1	TNFalpha	9	physical	HSP90AA1	MAP3K7	P07900	O43318	1
P07900	Q9UHD2	1	TNFalpha	9	physical	HSP90AA1	TBK1	P07900	Q9UHD2	1
P07900	P19438	1	TNFalpha	9	physical	HSP90AA1	TNFRSF1A	P07900	P19438	1
P08238	O15111	1	TNFalpha	9	physical	HSP90AB1	CHUK	P08238	O15111	1
P08238	Q14164	1	TNFalpha	9	physical	HSP90AB1	IKBKE	P08238	Q14164	1
P08238	Q99759	1	TNFalpha	9	physical	HSP90AB1	MAP3K3	P08238	Q99759	1
P08238	O43318	1	TNFalpha	9	physical	HSP90AB1	MAP3K7	P08238	O43318	1
P08238	Q9UHD2	1	TNFalpha	9	physical	HSP90AB1	TBK1	P08238	Q9UHD2	1
P08107	Q5VVH5	1	TNFalpha	9	physical	HSPA1A	IRAK1BP1	P08107	Q5VVH5	1
P11142	Q5VVH5	1	TNFalpha	9	physical	HSPA8	IRAK1BP1	P11142	Q5VVH5	1
O95163	P25963	1	TNFalpha	9	physical	IKBKAP	NFKBIA	O95163	P25963	1
O14920	O60477	1	TNFalpha	9	physical	IKBKB	DBC1	O14920	O60477	1
O14920	P07900	1	TNFalpha	9	physical	IKBKB	HSP90AA1	O14920	P07900	1
O14920	Q9Y6K9	1	TNFalpha	9	physical	IKBKB	IKBKG	O14920	Q9Y6K9	1
O14920	Q99558	1	TNFalpha	9	physical	IKBKB	MAP3K14	O14920	Q99558	1
O14920	P19838	1	TNFalpha	9	Phosphorylation	IKBKB	NFKB1	O14920	P19838	1
O14920	P25963	1	TNFalpha	9	physical	IKBKB	NFKBIA	O14920	P25963	1
O14920	P25963	1	TNFalpha	9	Phosphorylation	IKBKB	NFKBIA	O14920	P25963	1
O14920	Q15653	1	TNFalpha	9	physical	IKBKB	NFKBIB	O14920	Q15653	1
O14920	Q15653	1	TNFalpha	9	Phosphorylation	IKBKB	NFKBIB	O14920	Q15653	1
O14920	Q13546	1	TNFalpha	9	physical	IKBKB	RIPK1	O14920	Q13546	1
O14920	P12931	1	TNFalpha	9	physical	IKBKB	SRC	O14920	P12931	1
O14920	P19438	1	TNFalpha	9	physical	IKBKB	TNFRSF1A	O14920	P19438	1
O14920	Q13077	1	TNFalpha	9	physical	IKBKB	TRAF1	O14920	Q13077	1
Q14164	Q16543	1	TNFalpha	9	physical	IKBKE	CDC37	Q14164	Q16543	1
Q14164	P08238	1	TNFalpha	9	physical	IKBKE	HSP90AB1	Q14164	P08238	1
Q14164	Q86UP2	1	TNFalpha	9	physical	IKBKE	KTN1	Q14164	Q86UP2	1
Q9Y6K9	Q13490	1	TNFalpha	9	physical	IKBKG	BIRC2	Q9Y6K9	Q13490	1
Q9Y6K9	Q16543	1	TNFalpha	9	physical	IKBKG	CDC37	Q9Y6K9	Q16543	1
Q9Y6K9	P07900	1	TNFalpha	9	physical	IKBKG	HSP90AA1	Q9Y6K9	P07900	1
Q9Y6K9	O14920	1	TNFalpha	9	physical	IKBKG	IKBKB	Q9Y6K9	O14920	1
Q9Y6K9	Q99558	1	TNFalpha	9	physical	IKBKG	MAP3K14	Q9Y6K9	Q99558	1
Q9Y6K9	Q00653	1	TNFalpha	9	physical	IKBKG	NFKB2	Q9Y6K9	Q00653	1
Q9Y6K9	P25963	1	TNFalpha	9	physical	IKBKG	NFKBIA	Q9Y6K9	P25963	1
Q9Y6K9	Q15653	1	TNFalpha	9	physical	IKBKG	NFKBIB	Q9Y6K9	Q15653	1
Q9Y6K9	P19438	1	TNFalpha	9	physical	IKBKG	TNFRSF1A	Q9Y6K9	P19438	1
Q9Y6K9	P40222	1	TNFalpha	9	physical	IKBKG	TXLNA	Q9Y6K9	P40222	1
Q9Y6K9	O76080	1	TNFalpha	9	physical	IKBKG	ZFAND5	Q9Y6K9	O76080	1
Q13576	Q15653	1	TNFalpha	9	physical	IQGAP2	NFKBIB	Q13576	Q15653	1
Q5VVH5	P08107	1	TNFalpha	9	physical	IRAK1BP1	HSPA1A	Q5VVH5	P08107	1
Q5VVH5	P11142	1	TNFalpha	9	physical	IRAK1BP1	HSPA8	Q5VVH5	P11142	1
P51787	Q9Y4K3	1	TNFalpha	9	physical	KCNQ1	TRAF6	P51787	Q9Y4K3	1
P52292	Q01201	1	TNFalpha	9	physical	KPNA2	RELB	P52292	Q01201	1
O00505	P19838	1	TNFalpha	9	physical	KPNA3	NFKB1	O00505	P19838	1
Q86UP2	Q14164	1	TNFalpha	9	physical	KTN1	IKBKE	Q86UP2	Q14164	1
P45985	P45983	1	TNFalpha	9	Phosphorylation	MAP2K4	MAPK8	P45985	P45983	1
O14733	P45983	1	TNFalpha	9	Phosphorylation	MAP2K7	MAPK8	O14733	P45983	1
Q13233	Q16543	1	TNFalpha	9	physical	MAP3K1	CDC37	Q13233	Q16543	1
Q13233	P61962	1	TNFalpha	9	physical	MAP3K1	DCAF7	Q13233	P61962	1
Q13233	P62888	1	TNFalpha	9	physical	MAP3K1	RPL30	Q13233	P62888	1
Q13233	P62277	1	TNFalpha	9	physical	MAP3K1	RPS13	Q13233	P62277	1
Q13233	P63279	1	TNFalpha	9	physical	MAP3K1	UBE2I	Q13233	P63279	1
Q99558	Q16543	1	TNFalpha	9	physical	MAP3K14	CDC37	Q99558	Q16543	1
Q99558	O15111	1	TNFalpha	9	Phosphorylation	MAP3K14	CHUK	Q99558	O15111	1
Q99558	O15111	1	TNFalpha	9	physical	MAP3K14	CHUK	Q99558	O15111	1
Q99558	P22087	1	TNFalpha	9	physical	MAP3K14	FBL	Q99558	P22087	1
Q99558	P07900	1	TNFalpha	9	physical	MAP3K14	HSP90AA1	Q99558	P07900	1
Q99558	O14920	1	TNFalpha	9	physical	MAP3K14	IKBKB	Q99558	O14920	1
Q99558	Q9Y6K9	1	TNFalpha	9	physical	MAP3K14	IKBKG	Q99558	Q9Y6K9	1
Q99558	P62917	1	TNFalpha	9	physical	MAP3K14	RPL8	Q99558	P62917	1
Q99558	Q12933	1	TNFalpha	9	physical	MAP3K14	TRAF2	Q99558	Q12933	1
Q99558	Q13114	1	TNFalpha	9	physical	MAP3K14	TRAF3	Q99558	Q13114	1
Q99759	Q13480	1	TNFalpha	9	physical	MAP3K3	GAB1	Q99759	Q13480	1
Q99759	P08238	1	TNFalpha	9	physical	MAP3K3	HSP90AB1	Q99759	P08238	1
Q99759	O14920	1	TNFalpha	9	Phosphorylation	MAP3K3	IKBKB	Q99759	O14920	1
Q99759	P25963	1	TNFalpha	9	Phosphorylation	MAP3K3	NFKBIA	Q99759	P25963	1
Q99759	P31946	1	TNFalpha	9	physical	MAP3K3	YWHAB	Q99759	P31946	1
Q99759	P62258	1	TNFalpha	9	physical	MAP3K3	YWHAE	Q99759	P62258	1
Q99759	P61981	1	TNFalpha	9	physical	MAP3K3	YWHAG	Q99759	P61981	1
Q99759	Q04917	1	TNFalpha	9	physical	MAP3K3	YWHAH	Q99759	Q04917	1
Q99683	P06400	1	TNFalpha	9	physical	MAP3K5	RB1	Q99683	P06400	1
Q99683	Q969G6	1	TNFalpha	9	physical	MAP3K5	RFK	Q99683	Q969G6	1
Q99683	P21580	1	TNFalpha	9	physical	MAP3K5	TNFAIP3	Q99683	P21580	1
Q99683	Q12933	1	TNFalpha	9	physical	MAP3K5	TRAF2	Q99683	Q12933	1
O43318	O15111	1	TNFalpha	9	physical	MAP3K7	CHUK	O43318	O15111	1
O43318	Q13451	1	TNFalpha	9	physical	MAP3K7	FKBP5	O43318	Q13451	1
O43318	P07900	1	TNFalpha	9	physical	MAP3K7	HSP90AA1	O43318	P07900	1
O43318	P08238	1	TNFalpha	9	physical	MAP3K7	HSP90AB1	O43318	P08238	1
O43318	Q15750	1	TNFalpha	9	physical	MAP3K7	TAB1	O43318	Q15750	1
O43318	Q12933	1	TNFalpha	9	physical	MAP3K7	TRAF2	O43318	Q12933	1
