#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q99490	P16471	1	Prolactin	56	physical	AGAP2	PRLR	Q99490	P16471	1
Q99490	P42229	1	Prolactin	56	physical	AGAP2	STAT5A	Q99490	P42229	1
P49069	P16471	1	Prolactin	56	physical	CAMLG	PRLR	P49069	P16471	1
P22681	P06241	1	Prolactin	56	physical	CBL	FYN	P22681	P06241	1
P22681	O00459	1	Prolactin	56	physical	CBL	PIK3R2	P22681	O00459	1
Q9NSE2	P16471	1	Prolactin	56	physical	CISH	PRLR	Q9NSE2	P16471	1
Q92793	P16471	1	Prolactin	56	Acetylation	CREBBP	PRLR	Q92793	P16471	1
Q92793	P16471	1	Prolactin	56	physical	CREBBP	PRLR	Q92793	P16471	1
P07339	P01236	1	Prolactin	56	Proteolytic	CTSD	PRL	P07339	P01236	1
P50570	P16471	1	Prolactin	56	physical	DNM2	PRLR	P50570	P16471	1
Q13541	P67775	1	Prolactin	56	physical	EIF4EBP1	PPP2CA	Q13541	P67775	1
P04626	P62993	1	Prolactin	56	physical	ERBB2	GRB2	P04626	P62993	1
P04626	O60674	1	Prolactin	56	physical	ERBB2	JAK2	P04626	O60674	1
Q15303	P16471	1	Prolactin	56	physical	ERBB4	PRLR	Q15303	P16471	1
Q9UKB1	P16471	1	Prolactin	56	physical	FBXW11	PRLR	Q9UKB1	P16471	1
P21333	Q9NRF2	1	Prolactin	56	physical	FLNA	SH2B1	P21333	Q9NRF2	1
P06241	P22681	1	Prolactin	56	physical	FYN	CBL	P06241	P22681	1
P06241	P22681	1	Prolactin	56	Phosphorylation	FYN	CBL	P06241	P22681	1
